,Unnamed: 0,gender,age,amount_music,life_enjoyment,resilience,balanced_life,emotional_flex,self_actualization,trauma,total_health,health_categorical,song,artist,energy,dance,liveness,valence,tempo,instrumental,acoustic,popularity,genres
165,165,Female,18 - 30,1 - 2,3,4,3,4,5,No,19,1.0,Idk Love,Jeremy Zucker,0.43,0.579,0.13,0.5379999999999999,123.999,0.0,0.787,65.0,"['dance pop', 'electropop', 'indie poptimism', 'pop']"
166,166,Male,18 - 30,2+,3,4,3,3,5,No,18,1.0,Picturing Love,July Talk,0.685,0.71,0.0899,0.384,116.355,5.09e-05,0.0301,40.0,"['canadian indie', 'toronto indie']"
167,167,Male,18 - 30,2+,3,4,3,3,5,No,18,1.0,Don't Wanna Know (feat. Kendrick Lamar),Maroon 5,0.61,0.7829999999999999,0.0983,0.418,100.047,0.0,0.343,69.0,"['pop', 'pop rock']"
168,168,Male,18 - 30,2+,3,5,4,5,4,Yes,21,1.0,Cut Your Teeth - Kygo Remix,Kyla La Grange,0.6779999999999999,0.674,0.051,0.465,99.985,0.222,0.59,66.0,"['metropopolis', 'shimmer pop', 'tropical house']"
169,169,Male,18 - 30,2+,3,5,4,5,4,Yes,21,1.0,On & On,Cartoon,0.696,0.458,0.123,0.418,174.141,0.0,0.285,74.0,['tracestep']
170,170,Male,18 - 30,2+,3,5,4,5,4,Yes,21,1.0,Firestone (feat. Conrad Sewell),Kygo,0.652,0.486,0.077,0.391,113.055,6.63e-05,0.408,79.0,"['edm', 'pop', 'tropical house']"
171,171,Female,18 - 30,1 - 2,3,5,1,2,4,Yes,15,0.0,Too Late,Rayven Justice,0.445,0.494,0.134,0.239,127.469,0.0,0.326,38.0,"['deep pop r&b', 'slow game', 'west coast trap']"
172,172,Female,18 - 30,1 - 2,3,5,1,2,4,Yes,15,0.0,Yankı,Simge,0.7759999999999999,0.5920000000000001,0.4370000000000001,0.416,90.963,4.39e-06,0.00674,46.0,"['deep turkish pop', 'persian pop', 'turkish pop']"
173,173,Male,18 - 30,1 - 2,4,5,1,5,4,No,19,1.0,First Light,Lindsey Stirling,0.631,0.5760000000000001,0.115,0.211,101.987,0.00459,0.0498,49.0,['bow pop']
174,174,Male,18 - 30,2+,2,4,3,5,4,No,18,1.0,coordinate,Travis Scott,0.6579999999999999,0.688,0.335,0.28,75.615,1.89e-06,0.105,67.0,"['pop', 'pop rap', 'rap']"
175,175,Male,18 - 30,2+,2,4,3,5,4,No,18,1.0,beibs in the trap,Travis Scott,0.5710000000000001,0.743,0.29100000000000004,0.495,119.054,0.0,0.24,71.0,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
176,176,Male,18 - 30,2+,2,4,3,5,4,No,18,1.0,Gangsta,Kehlani,0.447,0.439,0.303,0.11,121.48,0.0,0.111,70.0,"['dance pop', 'pop', 'r&b']"
177,177,Female,18 - 30,2+,3,5,5,5,3,No,21,1.0,Sun & Moon,Above & Beyond,0.522,0.691,0.125,0.187,133.995,0.0141,0.0216,49.0,"['edm', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']"
178,178,Female,18 - 30,2+,3,5,5,5,3,No,21,1.0,Song From A Secret Garden,Rolf Løvland,0.303,0.226,0.162,0.094,66.727,0.878,0.897,54.0,[]
179,179,Female,18 - 30,2+,3,5,5,5,3,No,21,1.0,All We Know,The Chainsmokers,0.586,0.662,0.115,0.29600000000000004,90.0,0.00272,0.097,75.0,"['edm', 'electropop', 'pop', 'tropical house']"
180,180,Female,18 - 30,2+,3,5,5,5,3,No,21,1.0,Safari,J Balvin,0.675,0.6890000000000001,0.115,0.604,180.065,3.17e-06,0.531,75.0,"['latin', 'reggaeton']"
181,181,Female,18 - 30,2+,3,5,5,5,3,No,21,1.0,Hasta el Amanecer,Nicky Jam,0.608,0.8320000000000001,0.0761,0.589,94.013,0.0,0.282,75.0,"['latin', 'latin hip hop', 'pop', 'reggaeton', 'tropical']"
182,182,Male,18 - 30,2+,5,4,4,4,6,No,23,1.0,Rush Over Me,Seven Lions,0.753,0.441,0.027000000000000003,0.254,135.015,0.0,0.0701,63.0,"['big room', 'brostep', 'catstep', 'chillstep', 'edm', 'electro house', 'electronic trap', 'pop']"
183,183,Male,18 - 30,2+,5,4,4,4,6,No,23,1.0,Take My Breath Away,Alesso,0.899,0.544,0.35100000000000003,0.524,120.967,0.0,0.0663,63.0,"['big room', 'dance pop', 'edm', 'electro house', 'pop', 'progressive electro house', 'tropical house']"
184,184,Male,18 - 30,2+,5,4,4,4,6,No,23,1.0,Pjanoo - Radio Edit,Eric Prydz,0.8740000000000001,0.604,0.112,0.835,125.99,0.812,0.000563,68.0,"['big room', 'disco house', 'edm', 'electro house', 'house', 'progressive electro house', 'progressive house', 'vocal house']"
185,185,Male,18 - 30,2+,3,5,5,5,4,Yes,22,1.0,Sun Is Never Going Down (feat. Dawn Golden),Martin Garrix,0.726,0.506,0.266,0.266,128.04399999999998,8.05e-05,0.0030800000000000003,48.0,"['dance pop', 'dutch edm', 'edm', 'pop', 'pop dance', 'progressive house', 'tropical house']"
186,186,Male,18 - 30,2+,3,5,5,5,4,Yes,22,1.0,Seven Million (feat. Future),Lil Uzi Vert,0.629,0.8859999999999999,0.121,0.487,158.002,7.66e-06,0.051,67.0,"['rap', 'trap music']"
187,187,Female,18 - 30,2+,6,3,5,3,5,Yes,22,1.0,Don't Wanna Know (feat. Kendrick Lamar),Maroon 5,0.61,0.7829999999999999,0.0983,0.418,100.047,0.0,0.343,69.0,"['pop', 'pop rock']"
188,188,Female,18 - 30,0 - 1,4,5,2,4,4,No,19,1.0,Panda,Desiigner,0.748,0.72,0.369,0.246,145.22,0.0,0.0235,73.0,"['dwn trap', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']"
189,189,Female,18 - 30,0 - 1,4,5,2,4,4,No,19,1.0,Lean on Me,Bill Withers,0.22,0.619,0.124,0.423,75.16,1.19e-05,0.782,69.0,"['funk', 'motown', 'quiet storm', 'soul']"
190,190,Male,18 - 30,2+,3,2,4,3,1,No,13,0.0,Never Say Never,Basement Jaxx,0.789,0.753,0.325,0.65,126.008,0.111,0.007790000000000002,38.0,"['alternative dance', 'big beat', 'disco house', 'electronic', 'new rave', 'vocal house']"
191,191,Male,18 - 30,2+,3,2,4,3,1,No,13,0.0,Location,Khalid,0.449,0.736,0.0898,0.326,80.126,0.000162,0.33,86.0,"['indie r&b', 'pop', 'rap']"
192,192,Male,18 - 30,2+,3,2,4,3,1,No,13,0.0,Right Here,Dave B.,0.41,0.6509999999999999,0.108,0.12,128.049,0.0,0.368,52.0,"['indie r&b', 'trap soul', 'underground hip hop']"
193,193,Male,18 - 30,1 - 2,2,3,4,2,5,Yes,16,1.0,Remembering Sunday,All Time Low,0.602,0.45,0.141,0.316,170.043,0.0,0.15,61.0,['pop rap']
194,194,Male,18 - 30,1 - 2,2,3,4,2,5,Yes,16,1.0,Say It (feat. Tove Lo),Flume,0.532,0.598,0.0617,0.261,74.96300000000002,3.22e-06,0.0668,67.0,"['australian alternative rock', 'australian dance', 'downtempo', 'edm', 'pop']"
