,Unnamed: 0,Unnamed: 0.1,id,songs,song,artist,energy,dance,liveness,valence,tempo,instrumental,acoustic,popularity,genres
28,64,64,21,Can't Forget You San Holo,Can't Forget You (feat. The Nicholas),San Holo,0.76,0.5529999999999999,0.364,0.213,131.986,0.00772,0.00282,52.0,"['bass trap', 'edm', 'electronic trap', 'pop', 'tropical house']"
29,67,67,22,Dat $tick Rich Chigga,Dat $tick,Rich Brian,0.508,0.923,0.126,0.168,108.039,1.21e-05,0.104,73.0,"['indonesian hip hop', 'underground hip hop', 'vapor trap']"
30,68,68,22,Dissolve Absofacto,Dissolve,Absofacto,0.5820000000000001,0.688,0.0663,0.872,85.486,0.000157,0.23,57.0,"['indie psych-pop', 'indie psych-rock', 'shimmer psych']"
31,70,70,23,11 Blocks Wrabel,11 Blocks,Wrabel,0.711,0.5529999999999999,0.142,0.293,99.515,0.0,0.0216,67.0,"['dance pop', 'electropop', 'indie poptimism', 'modern rock', 'neo mellow', 'pop', 'post-teen pop', 'viral pop']"
32,71,71,23,Crazier Taylor Swift,Crazier,Taylor Swift,0.544,0.452,0.104,0.158,133.042,5.33e-06,0.0631,58.0,"['dance pop', 'pop', 'post-teen pop']"
33,72,72,24,Justified A Day to Remember,Justified,A Day To Remember,0.894,0.376,0.105,0.0433,126.287,0.00132,0.000487,50.0,"['metalcore', 'pop punk', 'rap metal', 'screamo']"
34,73,73,24,Tidal Wave Taking Back Sunday,You Can't Look Back,Taking Back Sunday,0.789,0.6579999999999999,0.0965,0.274,108.012,0.0,0.0298,49.0,"['emo', 'modern rock', 'pop punk', 'pop rock', 'screamo']"
35,74,74,24,Black Honey Thrice ,Black Honey,Thrice,0.892,0.442,0.0758,0.237,151.914,7.92e-06,0.00267,60.0,"['emo', 'modern rock', 'pop punk', 'post-hardcore', 'screamo']"
36,75,75,25,Diljit Do You Know,Do You Know,Diljit Dosanjh,0.7959999999999999,0.6970000000000001,0.162,0.312,85.00200000000002,0.0,0.155,51.0,"['bhangra', 'desi', 'desi hip hop', 'filmi', 'indian folk', 'indian pop', 'modern bollywood', 'punjabi', 'sufi']"
37,76,76,25,Mickey Singh Phone,Phone,Mickey Singh,0.693,0.448,0.0815,0.55,91.561,2.02e-06,0.127,57.0,['desi hip hop']
38,83,83,27,Deuces Chris Brown ,Deuces,Chris Brown,0.7390000000000001,0.644,0.0772,0.231,74.154,0.0,0.0311,62.0,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']"
39,85,85,28,Me Too Meghan Trainor,Me Too,Meghan Trainor,0.6940000000000001,0.934,0.478,0.835,123.829,1.2e-06,0.0962,74.0,"['dance pop', 'hip pop', 'pop', 'post-teen pop', 'r&b']"
40,86,86,28,Uptown Funk Mark Ronson ft Bruno Mars,Uptown Funk - Radio Instrumental,Kar Play,0.569,0.899,0.0419,0.516,115.019,0.589,0.000898,10.0,[]
41,87,87,29,Cold Water By Major Lazer justin bieber,Cold Water (Karaoke Piano Backing Track) [Originally Performed by Major Lazer & Justin Bieber],PianoNest,0.172,0.5670000000000001,0.24,0.198,93.009,0.923,0.993,2.0,[]
42,88,88,29,Count on me By Bruno Mars,Count On Me - Originally By Bruno Mars,Leopard Powered,0.16,0.569,0.107,0.12,177.96099999999996,0.937,0.976,0.0,[]
43,90,90,30,Chain Gang Sam Cooke,Chain Gang,Sam Cooke,0.6609999999999999,0.698,0.228,0.8240000000000001,131.808,0.0,0.636,58.0,"['adult standards', 'brill building pop', 'christmas', 'classic soul', 'rock-and-roll', 'soul']"
44,91,91,30,After Laughter Wendy Rene,After Laughter (Comes Tears) - Wendy Rene,Wendy Rene,0.211,0.428,0.0884,0.402,185.239,5.58e-06,0.182,50.0,"['memphis soul', 'southern soul']"
45,92,92,30,Put me Thru Anderson Paak,Put Me Thru,Anderson .Paak,0.789,0.732,0.123,0.607,107.978,3.11e-05,0.0459,60.0,"['escape room', 'hip hop', 'indie r&b', 'la indie', 'rap']"
46,93,93,31,Bombae fuse odg,BomBae,Fuse ODG,0.929,0.852,0.563,0.636,110.679,4.93e-06,0.0614,52.0,"['afrobeats', 'azonto', 'dance pop', 'grime']"
47,94,94,31,Salute jassi sidhu,Salute,Jassi Sidhu,0.963,0.754,0.0753,0.863,87.97,2.34e-05,0.064,30.0,"['bhangra', 'desi', 'desi hip hop', 'indian pop', 'punjabi']"
48,96,96,32,A.I. OneRepublic,A.I.,OneRepublic,0.6709999999999999,0.7,0.114,0.246,117.962,0.215,0.0859,52.0,"['dance pop', 'neo mellow', 'piano rock', 'pop', 'pop quebecois', 'pop rap', 'pop rock']"
49,97,97,32,Symphony Zeds Dead,Symphony,Zeds Dead,0.7240000000000001,0.498,0.157,0.384,145.908,6.75e-06,0.281,48.0,"['bass trap', 'brostep', 'edm', 'electro house', 'electronic trap', 'progressive electro house']"
50,102,102,34,Rhinestone Cowboy Madvillain,Rhinestone Cowboy,Madvillain,0.688,0.312,0.321,0.39,141.7,0.00162,0.298,49.0,"['alternative hip hop', 'hardcore hip hop', 'hip hop', 'rap', 'southern hip hop', 'underground hip hop']"
51,103,103,34,N.Y. State of mind Nas,N.Y. State of Mind,Nas,0.91,0.665,0.227,0.887,84.09899999999998,0.0,0.0394,65.0,"['conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop']"
52,104,104,34,Ultralight Beam Kanye West,Ultralight Beam,Kanye West,0.393,0.596,0.539,0.36,107.425,0.0,0.637,73.0,"['pop rap', 'rap']"
53,105,105,35,Find me kings of leon,Find Me,Kings of Leon,0.946,0.4,0.155,0.611,161.591,0.853,0.000136,66.0,"['garage rock', 'indie rock', 'modern rock', 'rock']"
54,106,106,35,Go with the flow the Queens of the stone age,Go With The Flow,Queens of the Stone Age,0.991,0.248,0.8340000000000001,0.398,159.37,0.0462,0.0115,59.0,"['alternative metal', 'alternative rock', 'blues-rock', 'garage rock', 'modern rock', 'neo-psychedelic', 'nu metal', 'post-grunge', 'rock', 'stoner metal', 'stoner rock']"
55,107,107,35,Bored to death Blink 182,Bored To Death,blink-182,0.966,0.502,0.117,0.638,159.94799999999995,1.56e-06,0.00575,63.0,"['modern rock', 'pop punk', 'punk']"
56,108,108,36,Breaking the chain Sum 41,Breaking The Chain,Sum 41,0.93,0.5529999999999999,0.0673,0.5379999999999999,123.201,0.0582,0.00034,51.0,"['alternative metal', 'canadian punk', 'nu metal', 'pop punk', 'post-grunge', 'punk']"
57,109,109,36,Cutting shapes Don Diablo,Cutting Shapes,Don Diablo,0.91,0.6679999999999999,0.0937,0.5770000000000001,125.812,0.0,0.0254,65.0,"['big room', 'dance pop', 'deep big room', 'edm', 'electro house', 'pop', 'progressive electro house', 'progressive house', 'tropical house']"
58,110,110,36,Middle DJ snake,Middle,DJ Snake,0.701,0.586,0.055,0.254,104.957,0.0,0.0203,79.0,"['dance pop', 'edm', 'electronic trap', 'pop', 'tropical house']"
59,112,112,37,shameless the weeknd,Shameless,The Weeknd,0.562,0.603,0.109,0.244,100.038,0.0,0.146,70.0,"['canadian pop', 'pop', 'rap']"
60,113,113,37,dark times the weeknd,Dark Times,The Weeknd,0.403,0.501,0.124,0.27,132.608,1.1e-05,0.114,72.0,"['canadian pop', 'pop', 'rap']"
61,114,114,38,Someday The Strokes,Someday,The Strokes,0.52,0.5379999999999999,0.3670000000000001,0.6779999999999999,106.031,0.0,0.00425,69.0,"['alternative rock', 'garage rock', 'indie rock', 'modern rock', 'permanent wave', 'rock']"
62,117,117,39,Perfect Illusion Lady Gaga,Perfect Illusion,Lady Gaga,0.855,0.625,0.35700000000000004,0.6679999999999999,124.977,0.0,0.0013800000000000002,71.0,"['dance pop', 'pop', 'post-teen pop']"
63,118,118,39,Alive Sia,Alive,Sia,0.762,0.508,0.108,0.444,99.963,0.000122,0.254,68.0,"['australian dance', 'australian pop', 'dance pop', 'pop']"
64,119,119,39,All I ask Adele,All I Ask,Adele,0.28300000000000003,0.5870000000000001,0.149,0.343,141.961,0.0,0.882,70.0,['pop']
65,123,123,41,Treacherous  Taylor Swift ,Treacherous,Taylor Swift,0.609,0.7,0.14400000000000002,0.392,109.98,5.25e-06,0.0852,57.0,"['dance pop', 'pop', 'post-teen pop']"
66,124,124,41,Carolina in my mind James Taylor ,Carolina In My Mind,James Taylor,0.267,0.579,0.132,0.353,74.899,0.000562,0.118,67.0,"['adult standards', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']"
67,125,125,41,Wild horses Rolling Stones ,Wild Horses,The Rolling Stones,0.404,0.371,0.0805,0.153,74.38600000000002,0.004529999999999999,0.669,69.0,"['album rock', 'british invasion', 'classic rock', 'protopunk', 'rock']"
68,126,126,42,Low Trace,Low,TRACE,0.809,0.499,0.224,0.168,140.03799999999998,0.416,0.00459,58.0,"['contemporary country', 'country', 'country road', 'modern country rock', 'redneck']"
69,127,127,42,Final Song Mo,Final Song,MØ,0.672,0.695,0.0756,0.245,104.988,8.44e-05,0.014,74.0,"['dance pop', 'danish pop', 'electropop', 'pop', 'tropical house']"
70,130,130,43,Come Together The Beatles,Come Together - Remastered 2009,The Beatles,0.376,0.5329999999999999,0.0926,0.187,165.007,0.248,0.0302,79.0,"['british invasion', 'merseybeat', 'psychedelic rock', 'rock']"
71,131,131,43,Closer The Chainsmokers and Halsey,The Chainsmokers ft. Halsey CLOSER,EL3ctro & NU3tro,0.244,0.466,0.118,0.199,95.022,0.0129,0.00593,20.0,[]
72,135,135,45,Howling at the Moon Milow,Howling At The Moon,Milow,0.664,0.711,0.235,0.579,127.834,0.0,0.204,47.0,"['belgian pop', 'belgian rock', 'pop quebecois']"
73,136,136,45,If I were sorry Frans,If I Were Sorry,Frans,0.612,0.735,0.103,0.395,105.056,4.120000000000001e-05,0.289,59.0,['classical performance']
74,137,137,45,Human RAG 'N' BONE MAN,Human,Rag'n'Bone Man,0.7070000000000001,0.602,0.165,0.5539999999999999,75.09,0.0,0.393,82.0,['neo soul']
75,140,140,46,I miss you blink 182,I Miss You,blink-182,0.778,0.659,0.0841,0.623,110.022,6.79e-06,0.00136,71.0,"['modern rock', 'pop punk', 'punk']"
76,143,143,47,Far East movement freal luv,Freal Luv (feat. Chanyeol & Tinashe),Far East Movement,0.8140000000000001,0.644,0.213,0.52,145.041,1.59e-06,0.16399999999999998,54.0,"['dance pop', 'edm', 'pop', 'pop rap']"
77,144,144,48,No Money Galantis,No Money,Galantis,0.916,0.6709999999999999,0.24,0.8029999999999999,126.01,0.00762,0.0282,75.0,"['big room', 'dance pop', 'edm', 'electro house', 'pop', 'pop rap', 'tropical house']"
78,147,147,49,Rambo Bryson Tiller,Rambo,Bryson Tiller,0.562,0.635,0.11,0.28800000000000003,181.014,2.01e-06,0.309,64.0,"['hip hop', 'indie r&b', 'pop', 'pop rap', 'r&b', 'rap', 'trap music']"
79,148,148,49,The Zone The Weeknd,The Zone,The Weeknd,0.521,0.619,0.101,0.254,139.886,0.000542,0.26,64.0,"['canadian pop', 'pop', 'rap']"
80,149,149,49,Saint Pablo Kanye West,Saint Pablo,Kanye West,0.768,0.502,0.204,0.403,168.218,0.0,0.273,67.0,"['pop rap', 'rap']"
81,150,150,50,Foundations Kate Nash,Foundations - Full Version,Kate Nash,0.91,0.551,0.0866,0.8690000000000001,84.425,0.0,0.0994,47.0,"['anti-folk', 'electropop', 'folk-pop', 'lilith', 'piano rock']"
82,151,151,50,Signed Sealed Delivered (I'm Yours) Stevie Wonder,"Signed, Sealed, Delivered (I'm Yours)",Stevie Wonder,0.784,0.6459999999999999,0.061,0.8190000000000001,108.84,0.0,0.00495,65.0,"['funk', 'motown', 'quiet storm', 'soul']"
83,152,152,50,Pine for Cedars Dan Mangan,Pine For Cedars,Dan Mangan,0.26,0.476,0.103,0.214,110.258,2.7300000000000006e-05,0.645,29.0,"['canadian folk', 'canadian indie', 'deep new americana', 'vancouver indie']"
84,153,153,51,Arirang Song So Hee,Jeongseon Arirang,So Hee Song,0.197,0.259,0.103,0.0393,66.29899999999999,7.34e-06,0.858,13.0,[]
85,154,154,51,Four seasons Vivaldi ,"The Four Seasons, Violin Concerto No. 2 in G Minor, RV 315 ""Summer"": III. Presto",Antonio Vivaldi,0.465,0.333,0.29100000000000004,0.6409999999999999,169.952,0.797,0.8370000000000001,62.0,"['baroque', 'classical', 'early music', 'italian baroque']"
86,155,155,51,No more Loco,No More Sorrow,Rotterdam Ska-Jazz Foundation,0.857,0.551,0.136,0.894,83.89,0.8740000000000001,0.0616,24.0,"['ska', 'ska jazz', 'ska revival', 'traditional ska']"
87,156,156,52,Supernova Mr Hudson/Kanye West,Supernova (Kanye West Feat Mr. Hudson Cover),Scott Chapman,0.627,0.7509999999999999,0.257,0.6970000000000001,123.968,0.0,0.0604,4.0,['viral pop']
88,157,157,52,Flight Tristam ,Flight,Tristam,0.755,0.434,0.106,0.217,87.383,2.57e-05,0.0415,70.0,"['brostep', 'catstep', 'chillstep', 'complextro', 'edm', 'electro house', 'tracestep']"
89,159,159,53,Show you the light MARC,Show You the Light (feat. Efraim Leo),MARC,0.735,0.579,0.238,0.228,105.022,0.0,0.00415,45.0,"['latin', 'latin pop', 'salsa', 'tropical']"
90,161,161,53,Wanted Trevor Guthrie,Wanted,Trevor Guthrie,0.8740000000000001,0.625,0.119,0.456,128.042,1.2e-06,0.304,37.0,[]
91,162,162,54,Drama Roy Woods,Drama (feat. Drake),Roy Woods,0.362,0.7090000000000001,0.109,0.113,122.043,0.0,0.157,74.0,"['canadian hip hop', 'hip hop', 'indie r&b', 'pop', 'pop rap', 'r&b', 'rap', 'trap music', 'trap soul']"
92,166,166,55,Carry On Memphis May Fire,Carry On,Memphis May Fire,0.974,0.294,0.21,0.131,143.842,0.0,0.00032900000000000003,48.0,"['melodic metalcore', 'metalcore', 'post-screamo', 'rap metal', 'screamo']"
93,167,167,55,Air Is Free Johnossi,Air Is Free,Johnossi,0.893,0.385,0.123,0.484,173.78400000000005,7.31e-06,0.0147,51.0,"['swedish alternative rock', 'swedish indie rock', 'swedish pop']"
94,168,168,56,Blame Diplo,Blame,Zeds Dead,0.777,0.602,0.0854,0.482,140.026,0.000367,0.226,61.0,"['bass trap', 'brostep', 'edm', 'electro house', 'electronic trap', 'progressive electro house']"
95,170,170,56,Winter Vivaldi,Winter 1,Max Richter,0.616,0.485,0.305,0.483,149.03799999999995,0.892,0.738,44.0,"['compositional ambient', 'focus', 'sleep', 'soundtrack']"
96,171,171,57,The Power of Love Céline Dion,The Power of Love,Céline Dion,0.519,0.546,0.24,0.247,140.054,0.00046,0.36,68.0,"['canadian pop', 'dance pop']"
97,172,172,57,Hooked On Your Love Aretha Franklin,Hooked On Your Love,Aretha Franklin,0.35100000000000003,0.8029999999999999,0.371,0.4970000000000001,109.785,0.0,0.183,31.0,"['christmas', 'classic soul', 'jazz blues', 'memphis soul', 'soul', 'southern soul']"
98,173,173,57,Cake By The Ocean DNCE,Cake By The Ocean,DNCE,0.765,0.774,0.0373,0.917,119.001,0.0,0.156,81.0,"['dance pop', 'pop', 'post-teen pop', 'tropical house']"
99,175,175,58,Drops of Jupiter Train,Drops of Jupiter,Train,0.64,0.468,0.154,0.499,79.297,0.0,0.154,78.0,"['neo mellow', 'pop', 'pop quebecois', 'pop rap', 'pop rock']"
100,176,176,58,Les amours dévouées Cœur de Pirate,Les amours dévouées,Cœur De Pirate,0.482,0.5870000000000001,0.314,0.7070000000000001,117.227,2.84e-06,0.713,35.0,['french pop']
101,177,177,59,With You Chris Brown,With You,Chris Brown,0.696,0.659,0.13,0.665,86.001,0.0,0.14300000000000002,69.0,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']"
102,178,178,59,Man! I Feel Like A Woman Shania Twain,Man! I Feel Like A Woman!,Shania Twain,0.899,0.6779999999999999,0.34700000000000003,0.757,124.944,0.0,0.637,75.0,"['canadian country', 'canadian pop', 'contemporary country', 'country', 'country dawn', 'dance pop']"
103,180,180,60,Fireproof Coleman Hell,Fireproof,Coleman Hell,0.774,0.6920000000000001,0.141,0.7709999999999999,128.033,1.02e-05,0.0149,47.0,"['canadian pop', 'indie poptimism', 'modern alternative rock', 'modern rock']"
104,182,182,60,Jubel Klingande,Jubel - Original Mix,Klingande,0.476,0.698,0.0542,0.181,124.986,0.238,0.185,64.0,"['deep house', 'deep tropical house', 'edm', 'tropical house']"
105,183,183,61,The ends travis scott,the ends,Travis Scott,0.737,0.585,0.0904,0.0497,171.85299999999995,0.0,0.0661,66.0,"['pop', 'pop rap', 'rap']"
106,187,187,62,Hype Drake ,Hype,Drake,0.608,0.789,0.368,0.271,129.958,0.0,0.0244,65.0,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
107,191,191,63,Don't Wanna Know Maroon 5 and Kendrick,"Don't Wanna Know - 11 Hearts Mix Maroon 5 , Kendrick Lamar Tribute",Amin Cruiser,0.575,0.599,0.0937,0.213,120.913,0.253,0.6659999999999999,1.0,[]
108,192,192,64,Cross our Bones Crown the Empire,Cross Our Bones,Crown The Empire,0.938,0.544,0.21,0.503,125.079,0.0,0.000242,41.0,"['metalcore', 'post-post-hardcore', 'post-screamo', 'screamo', 'trancecore']"
109,193,193,64,Aftermath Crown the Empire,Aftermath,Crown The Empire,0.988,0.494,0.362,0.327,135.012,8.96e-06,0.000576,46.0,"['metalcore', 'post-post-hardcore', 'post-screamo', 'screamo', 'trancecore']"
110,194,194,64,Colourblind Hands like Houses,Colourblind,Hands Like Houses,0.949,0.557,0.34,0.397,111.008,0.000418,0.000282,58.0,"['metalcore', 'post-screamo', 'progressive post-hardcore', 'screamo']"
111,195,195,65,Close Nick Jonas,Close,Nick Jonas,0.623,0.653,0.14400000000000002,0.401,123.999,0.0,0.253,72.0,"['dance pop', 'pop', 'post-teen pop', 'r&b', 'viral pop']"
